id,pii,package_name,dst,protocol,count
114,AndroidId,com.jb.zcamera,newstoredata.goforandroid.com,HTTP,3
115,AdvertiserId,com.robtopx.geometrydashworld,a.applovin.com,HTTP,12
116,FirstName,com.walmart.android,quimby.mobile.walmart.com,HTTPS,2
117,Username,tv.twitch.android.app,api.twitch.tv,HTTP,1
118,AdvertiserId,com.powerd.cleaner,graph.facebook.com,HTTPS,1
119,AdvertiserId,No mapping_ entry not found,api.vungle.com,HTTP,9
120,AdvertiserId,com.ss.android.article.master,i.isnssdk.com,HTTPS,76
121,AndroidId,com.bitmango.go.wordcookies,settings.crashlytics.com,HTTPS,2
122,AdvertiserId,com.bitmango.go.wordcookies,a.bitmango.com,HTTP,116
123,Location,com.weather.Weather,api.sessionm.com,HTTPS,2
124,Location,air.com.gaetanoconsiglio.EscapePrison,appodeal.rtb.loopme.me,HTTP,2
125,AdvertiserId,net.zedge.android,zedge-d.openx.net,HTTP,2
126,AndroidId,System,api.geo.kontagent.net,HTTP,6
127,AdvertiserId,com.bitmango.go.blockhexapuzzle,control.kochava.com,HTTPS,1
128,AdvertiserId,com.ehawk.antivirus.applock.wifi,events.appsflyer.com,HTTPS,1
129,AndroidId,System,api.mobula.sdk.duapps.com,HTTP,20
130,AdvertiserId,mbinc12.mb32b,ads.mopub.com,HTTP,428
131,AdvertiserId,com.pixelberrystudios.choices,a.applovin.com,HTTP,12
132,AdvertiserId,com.mobilityware.solitaire,ads.mopub.com,HTTP,1
133,AndroidId,com.pof.android,ajax.googleapis.com,HTTP,2
134,AdvertiserId,com.weather.Weather,register.appsflyer.com,HTTPS,2
135,AdvertiserId,com.junerking.bottle,f2.doodlemobile.com,HTTP,1
136,AdvertiserId,No mapping_ entry not found,www.startappexchange.com,HTTP,1
137,AdvertiserId,com.fungames.sniper3d,d.applovin.com,HTTP,1
138,Email,com.google.android.gms,www.googleapis.com,HTTPS,1
139,AdvertiserId,com.gau.go.launcherex,newstoredata.goforandroid.com,HTTP,1
140,AdvertiserId,com.freecraft.pocket.edition,bj-dsponline-virginia-1763182688.us-east-1.elb.amazonaws.com,HTTP,2
141,AdvertiserId,com.transactione.freemusic,ws.tapjoyads.com,HTTPS,17
142,City,air.com.gaetanoconsiglio.EscapePrison,ade.tpbid.com,HTTP,2
143,City,com.freecraft.pocket.edition,dsp-usa.exe.bid,HTTP,2
144,AndroidId,com.intellectualflame.ledflashlight.washer,api.p2nservice.com,HTTP,1
145,AdvertiserId,com.funplus.kingofavalon,logagent.infra.funplus.net,HTTPS,12
146,AdvertiserId,com.lionmobi.battery,updater.lionmobi.com,HTTP,4
147,City,me.lyft.android,api.lyft.com,HTTPS,6
148,AndroidId,com.ss.android.article.master,isub.isnssdk.com,HTTPS,13
149,IMEI,com.ss.android.article.master,log.isnssdk.com,HTTPS,52
150,Zipcode,com.myyearbook.m,v.lkqd.net,HTTP,4
151,IMEI,No mapping_ entry not found,t.appsflyer.com,HTTPS,1
152,Location,com.roblox.client,t5.rbxcdn.com,HTTP,1
153,AdvertiserId,com.tubitv,api.branch.io,HTTPS,1
154,AndroidId,com.cmcm.live,ssdk.adkmob.com,HTTPS,1
155,AdvertiserId,com.umonistudio.tile,impact.applifier.com,HTTPS,1
156,SerialNumber,com.episodeinteractive.android.catalog,narrative.android.pocketgems.com,HTTP,2
157,AndroidId,com.steam.photoeditor,version.api.goforandroid.com,HTTP,3
158,AdvertiserId,com.madebyappolis.spinrilla,live.sekindo.com,HTTP,2
159,AndroidId,System,23.236.120.220,HTTP,1
160,AdvertiserId,com.fingersoft.hillclimb,api.vungle.com,HTTP,4
161,SerialNumber,com.outfit7.mytalkingtomfree,apps.outfit7.com,HTTP,2
162,AdvertiserId,com.pixelberrystudios.choices,rt.applovin.com,HTTP,2
163,AndroidId,com.offerup,s3.amazonaws.com,HTTPS,4
164,AndroidId,com.jiubang.go.music,csr.goforandroid.com,HTTP,4
165,Zipcode,com.cyberpony.stickman.warriors.epic,us1.clickkydsp.com,HTTP,20
166,AdvertiserId,com.ss.android.article.master,settings.crashlytics.com,HTTPS,2
167,AdvertiserId,com.madebyappolis.spinrilla,a.thirdpresence.com,HTTPS,2
168,AdvertiserId,System,ssp.lkqd.net,HTTP,1
169,AdvertiserId,com.myyearbook.m,ad.lkqd.net,HTTP,4
170,Location,tunein.player,api.radiotime.com,HTTPS,4
171,AdvertiserId,com.cleanmaster.mguard,profile.adkmob.com,HTTPS,4
172,AdvertiserId,com.pixelberrystudios.choices,d.applovin.com,HTTP,2
173,AdvertiserId,com.weather.Weather,bcp.crwdcntrl.net,HTTPS,8
174,AdvertiserId,mbinc12.mb32b,adexp.liftoff.io,HTTP,1
175,AdvertiserId,mbinc12.mb32b,ads-bidder-api.twitter.com,HTTPS,6
176,Location,com.walmart.android,pay.edge.walmart.com,HTTPS,2
177,AdvertiserId,mbinc12.mb32b,a.applovin.com,HTTP,4
178,Location,System,ads.mopub.com,HTTP,10
179,AndroidId,com.murka.slotsera,events.appsflyer.com,HTTPS,1
180,SerialNumber,No mapping_ entry not found,apps.outfit7.com,HTTP,2
181,AndroidId,com.cleanmaster.security,ws.ksmobile.net,HTTPS,1
182,Location,com.freecraft.pocket.edition,rtb.hyperadx.com,HTTP,4
183,IMEI,com.junerking.bottle,ws.tapjoyads.com,HTTPS,1
184,AdvertiserId,com.msi.logogame,ads.celtra.com,HTTP,1
185,AdvertiserId,com.mobilityware.solitaire,settings.crashlytics.com,HTTPS,1
186,AdvertiserId,com.qisiemoji.inputmethod,t.appsflyer.com,HTTPS,8
187,AdvertiserId,com.glu.deerhunt2,service.sponsorpay.com,HTTPS,1
188,AdvertiserId,com.myyearbook.m,t.lkqd.net,HTTP,55
189,AndroidId,com.rhapsody,www.googleadservices.com,HTTP,12
190,AndroidId,com.intellectualflame.ledflashlight.washer,ws.tapjoyads.com,HTTPS,6
191,AdvertiserId,com.madebyappolis.spinrilla,ads.mopub.com,HTTP,6
192,Location,com.roblox.client,c5.rbxcdn.com,HTTP,70
193,Location,com.cyberpony.stickman.warriors.epic,omax.admarvel.com,HTTP,12
194,AndroidId,com.wordmobile.waterslide,connect.tapjoy.com,HTTPS,1
195,AdvertiserId,net.zedge.android,ads-bidder-api.twitter.com,HTTPS,1
196,AdvertiserId,com.ludia.familyfeudblitz,connect.tapjoy.com,HTTPS,1
197,AdvertiserId,com.weplaydots.twodotsandroid,rv-gateway.supersonicads.com,HTTPS,2
198,AdvertiserId,com.outfit7.talkinggingerfree,apps.outfit7.com,HTTP,3
199,AdvertiserId,com.zhiliaoapp.musicallylite,settings.crashlytics.com,HTTPS,1
200,AdvertiserId,No mapping_ entry not found,www.wish.com,HTTPS,1
201,AndroidId,com.secondarm.taptapdash,settings.crashlytics.com,HTTPS,1
202,AdvertiserId,com.steam.photoeditor,csr.goforandroid.com,HTTP,1
203,AndroidId,com.topfreegames.bikeracefreeworld,settings.crashlytics.com,HTTPS,1
204,AdvertiserId,com.cleanmaster.security1489024169037,ce-production-network-tracking-258870357.us-west-2.elb.amazonaws.com,HTTP,1
205,AdvertiserId,com.digidust.elokence.akinator.freemium,loopme.me,HTTP,1
206,AndroidId,com.intellectualflame.ledflashlight.washer,settings.crashlytics.com,HTTPS,1
207,AdvertiserId,com.secondarm.taptapdash,med.heyzap.com,HTTPS,8
208,AdvertiserId,com.offerup,settings.crashlytics.com,HTTPS,2
209,Location,com.cyberpony.stickman.warriors.epic,dsp-usa.exe.bid,HTTP,12
210,AndroidId,com.funplus.kingofavalon,logagent.infra.funplus.net,HTTPS,16
211,AndroidId,com.zentertain.freemusic,settings.crashlytics.com,HTTPS,2
212,AndroidId,com.supo.security,mo.supos.info,HTTP,68
213,AdvertiserId,com.powerd.cleaner,track.appsflyer.com,HTTPS,3
214,AndroidId,com.epicwaronline.ms,control.kochava.com,HTTPS,1
215,AdvertiserId,com.nordcurrent.canteenhd,save.nordcurrent.com,HTTP,2
216,AdvertiserId,com.freecraft.pocket.edition,ads.mopub.com,HTTP,4
217,AdvertiserId,com.digidust.elokence.akinator.freemium,push.akinator.com,HTTP,1
218,AdvertiserId,com.outfit7.mytalkingtomfree,a.applovin.com,HTTP,8
219,AdvertiserId,com.outfit7.talkingtomgoldrun,a.applovin.com,HTTP,5
220,Location,com.myyearbook.m,x.torrenti.al,HTTP,4
221,AdvertiserId,com.nbcuni.nbc,nbcume.sc.omtrdc.net,HTTP,1
222,AndroidId,com.tubitv,api.branch.io,HTTPS,1
223,City,com.freecraft.pocket.edition,appodeal.rtb.loopme.me,HTTP,6
224,IMSI,com.jb.gosms,smsmarket.goforandroid.com,HTTP,4
225,AdvertiserId,com.myyearbook.m,reports.crashlytics.com,HTTPS,13
226,AdvertiserId,io.voodoo.paperio,ads.mopub.com,HTTP,49
227,AdvertiserId,at.ner.lepsWorld2,ads.mopub.com,HTTP,2
228,AndroidId,com.huuuge.casino.slots,placements.tapjoy.com,HTTPS,2
229,AdvertiserId,com.bigduckgames.flow,t.appsflyer.com,HTTPS,1
230,IMEI,com.gau.go.launcherex,t.appsflyer.com,HTTPS,3
231,City,com.cyberpony.stickman.warriors.epic,ev.lb.rtb.woobi.com,HTTPS,10
232,AdvertiserId,com.msi.logogame,ws.tapjoyads.com,HTTPS,2
233,AdvertiserId,com.episodeinteractive.android.catalog,androidads20.adcolony.com,HTTPS,1
234,AdvertiserId,vsin.t16_funny_photo,cfg.ws.pho.to,HTTP,1
235,AdvertiserId,com.ipn.clean,logging.okokclean.com,HTTP,2
236,AndroidId,com.transactione.freemusic,rpc.tapjoy.com,HTTPS,5
237,AndroidId,com.kathleenOswald.solitaireGooglePlay,settings.crashlytics.com,HTTPS,1
238,Username,air.com.hypah.io.slither,206.191.154.41,HTTP,3
239,AndroidId,com.murka.slotsera,t.appsflyer.com,HTTPS,4
240,AdvertiserId,com.gamecircus.tycoon,ws.tapjoyads.com,HTTPS,3
241,AdvertiserId,com.digidust.elokence.akinator.freemium,rt.applovin.com,HTTP,1
242,AdvertiserId,com.fingersoft.hcr2,d.applovin.com,HTTP,2
243,AdvertiserId,com.qihoo.security,graph.facebook.com,HTTPS,33
244,AndroidId,com.bitmango.go.blockhexapuzzle,control.kochava.com,HTTPS,1
245,AdvertiserId,com.madebyappolis.spinrilla,p.algovid.com,HTTP,2
246,AndroidId,com.steam.photoeditor,abtest.goforandroid.com,HTTP,11
247,AdvertiserId,com.instagram.android,i.instagram.com,HTTPS,3
248,AdvertiserId,com.turbochilli.rollingsky,net.rayjump.com,HTTP,1
249,AdvertiserId,com.pandora.android,stats.pandora.com,HTTP,21
250,AdvertiserId,com.miniclip.bowmasters,ads.mopub.com,HTTP,1
251,AdvertiserId,System,gocurrency.goforandroid.com,HTTP,2
252,AdvertiserId,com.ea.games.r3_row,settings.crashlytics.com,HTTPS,1
253,AndroidId,com.cleanmaster.security,unconf.adkmob.com,HTTPS,1
254,IMEI,com.kiloo.subwaysurf,rpc.tapjoy.com,HTTPS,6
255,AndroidId,com.ss.android.article.master,log.isnssdk.com,HTTPS,52
256,AdvertiserId,com.enflick.android.TextNow,api.textnow.me,HTTPS,1
257,Location,me.lyft.android,maps.googleapis.com,HTTPS,2
258,Location,com.roblox.client,c2.rbxcdn.com,HTTP,64
259,AndroidId,com.yodo1.crossyroad,content-js.tapjoy.com,HTTPS,1
260,AdvertiserId,com.cyberpony.stickman.warriors.epic,bidder.yeahmobi.com,HTTP,2
261,AdvertiserId,vsin.t16_funny_photo,a.applovin.com,HTTP,4
262,AndroidId,com.jb.gosms,events.appsflyer.com,HTTPS,3
263,AdvertiserId,bibleverses.bibleverse.bible.biblia.verse.devotion,register.appsflyer.com,HTTPS,1
264,AdvertiserId,com.spotify.music,graph.facebook.com,HTTPS,5
265,Zipcode,com.cyberpony.stickman.warriors.epic,rtb.hyperadx.com,HTTP,12
266,AdvertiserId,mbinc12.mb32b,vabid.prod.sift.co,HTTPS,2
267,AndroidId,net.peakgames.amy,settings.crashlytics.com,HTTPS,2
268,AdvertiserId,com.bitmango.go.jewelmatchkingquest,a.applovin.com,HTTP,4
269,IMEI,com.ss.android.article.master,isub.isnssdk.com,HTTPS,13
270,Location,com.roblox.client,t7.rbxcdn.com,HTTP,2
271,AdvertiserId,com.murka.slotsera,register.appsflyer.com,HTTPS,1
272,AdvertiserId,com.cleanmaster.mguard,t.appsflyer.com,HTTPS,4
273,AndroidId,com.intuit.turbotax.mobile,control.kochava.com,HTTPS,1
274,AdvertiserId,com.ekkorr.endlessfrontier.global,placements.tapjoy.com,HTTPS,1
275,AndroidId,com.jb.gosms,goconfigsync.3g.cn,HTTP,1
276,AndroidId,com.turbochilli.rollingsky,www.cm.ksmobile.com,HTTP,2
277,AdvertiserId,com.cmcm.live,ssdk.adkmob.com,HTTPS,1
278,AndroidId,com.sega.sonicboomandroid,track.appsflyer.com,HTTPS,1
279,AdvertiserId,com.weather.Weather,ad.crwdcntrl.net,HTTPS,12
280,AdvertiserId,com.qisiemoji.inputmethod,api.tinyhoneybee.com,HTTP,9
281,AdvertiserId,com.freecraft.pocket.edition,bidder.mdspinc.com,HTTP,4
282,AdvertiserId,com.outfit7.mytalkinghank,api-proxy.bee7.com,HTTP,3
283,AndroidId,com.jb.gosms,adviap.goforandroid.com,HTTP,4
284,AdvertiserId,com.freecraft.pocket.edition,ade.tpbid.com,HTTP,6
285,AdvertiserId,com.miniclip.eightballpool,d.applovin.com,HTTP,1
286,Location,com.nianticlabs.pokemongo,batch.upsight-api.com,HTTPS,2
287,AndroidId,com.zhiliaoapp.lively,settings.crashlytics.com,HTTPS,2
288,Location,No mapping_ entry not found,199.83.168.140,HTTP,8
289,AdvertiserId,com.msi.logogame,bm.adentifi.com,HTTPS,3
290,AndroidId,No mapping_ entry not found,trk.pinterest.com,HTTPS,1
291,AdvertiserId,net.zedge.android,www1.mmnetwork.mobi,HTTP,3
292,AdvertiserId,com.sega.sonicboomandroid,init.supersonicads.com,HTTPS,2
293,AdvertiserId,com.cyberpony.stickman.warriors.epic,us1.clickkydsp.com,HTTP,20
294,AdvertiserId,No mapping_ entry not found,ads.mopub.com,HTTP,42
295,AdvertiserId,com.ketchapp.stack,med.heyzap.com,HTTPS,6
296,Email,com.jb.zcamera,photoplp.goforandroid.com,HTTP,1
297,AdvertiserId,com.pof.android,connect.facebook.net,HTTP,2
298,Zipcode,com.pandora.android,pubads.g.doubleclick.net,HTTP,3
299,AdvertiserId,com.madebyappolis.spinrilla,vdo.pokkt.com,HTTP,3
300,AdvertiserId,System,a.applovin.com,HTTP,28
301,AdvertiserId,com.qisiemoji.inputmethod,api.kika-backend.com,HTTP,2
302,AndroidId,com.zeptolab.ctr.ads,decide.mixpanel.com,HTTPS,3
303,City,com.ss.android.article.master,i.isnssdk.com,HTTPS,26
304,AdvertiserId,com.miniclip.eightballpool,a.applovin.com,HTTP,4
305,AndroidId,com.jb.zcamera,goupdate.3g.cn,HTTP,3
306,AdvertiserId,com.transactione.freemusic,placements.tapjoy.com,HTTPS,1
307,Location,System,launcher.goweatherex.3g.cn,HTTP,4
308,Email,com.cleanmaster.mguard,proxy.ksmobile.com,HTTPS,1
309,AdvertiserId,com.cyberpony.stickman.warriors.epic,ox-d.alf.servedbyopenx.com,HTTP,2
310,AndroidId,com.cleanmaster.mguard,ws.ksmobile.net,HTTPS,11
311,AdvertiserId,com.outfit7.mytalkingtomfree,soma.smaato.net,HTTP,1
312,AdvertiserId,com.zeptolab.ctr.ads,adserver.unityads.unity3d.com,HTTPS,1
313,AdvertiserId,com.fungames.sniper3d,api.vungle.com,HTTP,1
314,AdvertiserId,com.gamecircus.tycoon,t.appsflyer.com,HTTPS,3
315,Location,com.cyberpony.stickman.warriors.epic,ox-d.alf.servedbyopenx.com,HTTP,4
316,AndroidId,com.jb.emoji.gokeyboard,23.236.120.208,HTTP,3
317,AdvertiserId,com.bitmango.go.wordcookies,watson.bitmango.com,HTTP,2
318,AdvertiserId,com.dianxinos.dxbs,graph.facebook.com,HTTPS,1
319,AdvertiserId,com.fortafygames.colorswitch,rt.applovin.com,HTTP,1
320,IMEI,com.ss.android.article.master,cdn.isnssdk.com,HTTPS,82
321,AndroidId,System,events.appsflyer.com,HTTPS,1
322,AndroidId,com.turbochilli.rollingsky,rs.cmcm.com,HTTPS,8
323,AdvertiserId,com.powerd.cleaner,net.rayjump.com,HTTP,1
324,AndroidId,com.episodeinteractive.android.catalog,pocket-gems.appspot.com:80,HTTP,6
325,AdvertiserId,com.cmplay.tiles2,graph.facebook.com,HTTPS,3
326,AdvertiserId,com.king.candycrushsaga,adtrack1.midasplayer.com,HTTPS,1
327,AdvertiserId,com.offerup,graph.facebook.com,HTTPS,2
328,AndroidId,com.gau.go.launcherex,wallpaperAction.goforandroid.com,HTTP,2
329,AdvertiserId,com.zhiliaoapp.musically,graph.facebook.com,HTTPS,7
330,AndroidId,System,apps.outfit7.com,HTTP,1
331,AdvertiserId,com.pnixgames.bowlingking,impact.applifier.com,HTTPS,1
332,City,com.freecraft.pocket.edition,rtb-appodeal.mdotm.co,HTTP,4
333,City,air.com.gaetanoconsiglio.EscapePrison,appodeal.bidsopt.com,HTTP,2
334,Location,com.freecraft.pocket.edition,appodeal.bidsopt.com,HTTP,2
335,Location,air.com.gaetanoconsiglio.EscapePrison,omax.admarvel.com,HTTP,2
336,AdvertiserId,com.dodreams.driveahead,api.vungle.com,HTTP,5
337,AndroidId,com.lionmobi.powerclean,gamebooster.lionmobi.com,HTTP,7
338,Zipcode,com.kathleenOswald.solitaireGooglePlay,www1.mmnetwork.mobi,HTTP,2
339,AndroidId,com.ss.android.article.master,dm.isnssdk.com,HTTPS,2
340,AdvertiserId,com.outfit7.mytalkingtomfree,mpx.mopub.com,HTTP,3
341,AdvertiserId,com.bigduckgames.flow,mpx.mopub.com,HTTP,1
342,AndroidId,com.myfitnesspal.android,t.appsflyer.com,HTTPS,2
343,AdvertiserId,System,advonline.goforandroid.com,HTTP,1
344,AndroidId,com.murka.slotsera,settings.crashlytics.com,HTTPS,1
345,AndroidId,com.smule.singandroid,settings.crashlytics.com,HTTPS,1
346,AdvertiserId,com.popreach.dumbways,a.applovin.com,HTTP,9
347,Location,com.ksmobile.launcher,api.weather.com,HTTPS,8
348,Zipcode,air.com.gaetanoconsiglio.EscapePrison,omax.admarvel.com,HTTP,2
349,AndroidId,com.ss.android.article.master,settings.crashlytics.com,HTTPS,2
350,AdvertiserId,System,androidsdk.ads.mp.mydas.mobi,HTTP,1
351,Location,com.roblox.client,assetgame.roblox.com,HTTP,662
352,AdvertiserId,net.zedge.android,aax-us-east.amazon-adsystem.com,HTTP,1
353,AndroidId,System,launchermsg.3g.cn,HTTP,24
